type,count,amount,name,year,quarter,state
TOTAL,4592,10163311.001115777,noney district,2019,3,manipur
TOTAL,79728,206224069.84990168,imphal east district,2019,3,manipur
TOTAL,25149,56874722.875841096,thoubal district,2019,3,manipur
TOTAL,10786,21658629.891090117,kakching district,2019,3,manipur
TOTAL,6684,15754766.096758239,jiribam district,2019,3,manipur
TOTAL,11017,25516446.138604183,ukhrul district,2019,3,manipur
TOTAL,9939,22282886.130792048,tamenglong district,2019,3,manipur
TOTAL,1537,3909906.0631627766,kamjong district,2019,3,manipur
TOTAL,9230,20201420.061846673,chandel district,2019,3,manipur
TOTAL,23755,49667965.86779255,bishnupur district,2019,3,manipur
TOTAL,5730,12992196.559651546,senapati district,2019,3,manipur
TOTAL,370,763600.6287200841,pherzawl district,2019,3,manipur
TOTAL,23946,67550608.43753463,churachandpur district,2019,3,manipur
TOTAL,7570,21841055.2655591,tengnoupal district,2019,3,manipur
TOTAL,101022,266880799.50360966,imphal west district,2019,3,manipur
TOTAL,28686,74931231.19366804,kangpokpi district,2019,4,manipur
TOTAL,6326,14165358.767545234,noney district,2019,4,manipur
TOTAL,96589,249197379.8585516,imphal east district,2019,4,manipur
TOTAL,32971,73727196.96627039,thoubal district,2019,4,manipur
TOTAL,12984,31541265.82204684,kakching district,2019,4,manipur
TOTAL,7943,19814795.854595695,jiribam district,2019,4,manipur
TOTAL,12148,33065935.196690496,ukhrul district,2019,4,manipur
TOTAL,11954,27326669.899029642,tamenglong district,2019,4,manipur
TOTAL,1618,5668618.53808438,kamjong district,2019,4,manipur
TOTAL,11650,30393939.871451408,chandel district,2019,4,manipur
TOTAL,31835,72704593.78015086,bishnupur district,2019,4,manipur
TOTAL,7994,15860386.82079871,senapati district,2019,4,manipur
TOTAL,537,1737007.4828713536,pherzawl district,2019,4,manipur
TOTAL,26420,76031748.45585427,churachandpur district,2019,4,manipur
TOTAL,9616,28805257.528178874,tengnoupal district,2019,4,manipur
TOTAL,150073,445926296.0528502,imphal west district,2019,4,manipur
TOTAL,33643,81400323.90620552,kangpokpi district,2020,1,manipur
TOTAL,8941,23331883.38449249,noney district,2020,1,manipur
TOTAL,97573,222479758.42504126,imphal east district,2020,1,manipur
TOTAL,40558,92413414.3395817,thoubal district,2020,1,manipur
TOTAL,16690,37525920.22436564,kakching district,2020,1,manipur
TOTAL,8704,20332072.3920429,jiribam district,2020,1,manipur
TOTAL,13355,30659040.231015503,ukhrul district,2020,1,manipur
TOTAL,14451,31491246.17045552,tamenglong district,2020,1,manipur
TOTAL,2768,6910208.366847619,kamjong district,2020,1,manipur
TOTAL,13716,31278977.085135248,chandel district,2020,1,manipur
TOTAL,40172,83818557.86725357,bishnupur district,2020,1,manipur
TOTAL,9922,18344875.736180037,senapati district,2020,1,manipur
TOTAL,982,1624394.409407775,pherzawl district,2020,1,manipur
TOTAL,33637,84566221.4462608,churachandpur district,2020,1,manipur
TOTAL,12297,33219739.526860353,tengnoupal district,2020,1,manipur
TOTAL,471392,1799193747.3658047,imphal west district,2020,1,manipur
TOTAL,48617,105034881.03695941,kangpokpi district,2020,2,manipur
TOTAL,14604,44082720.741025195,noney district,2020,2,manipur
TOTAL,127255,269647863.43556607,imphal east district,2020,2,manipur
TOTAL,66183,158615301.51328385,thoubal district,2020,2,manipur
TOTAL,30404,53791181.45126964,kakching district,2020,2,manipur
TOTAL,13861,28862256.51424871,jiribam district,2020,2,manipur
TOTAL,24243,43560417.96634197,ukhrul district,2020,2,manipur
TOTAL,21294,47020896.803083815,tamenglong district,2020,2,manipur
TOTAL,4430,11168145.844261197,kamjong district,2020,2,manipur
TOTAL,21517,49008541.100852005,chandel district,2020,2,manipur
TOTAL,70841,142299534.95281482,bishnupur district,2020,2,manipur
TOTAL,17187,27792929.58458709,senapati district,2020,2,manipur
TOTAL,1363,4220742.5953207435,pherzawl district,2020,2,manipur
TOTAL,50818,128936170.25492851,churachandpur district,2020,2,manipur
TOTAL,18676,50033115.318425305,tengnoupal district,2020,2,manipur
TOTAL,551775,2034861513.6925411,imphal west district,2020,2,manipur
TOTAL,56646,141494952.88474357,kangpokpi district,2020,3,manipur
TOTAL,12955,42576247.00801732,noney district,2020,3,manipur
TOTAL,148992,357420385.46601486,imphal east district,2020,3,manipur
TOTAL,75667,178314817.40950677,thoubal district,2020,3,manipur
TOTAL,33268,72744605.62932977,kakching district,2020,3,manipur
TOTAL,17173,44785891.80461171,jiribam district,2020,3,manipur
TOTAL,27857,63120519.96337035,ukhrul district,2020,3,manipur
TOTAL,24595,57102594.74572652,tamenglong district,2020,3,manipur
TOTAL,5040,16944663.485157657,kamjong district,2020,3,manipur
TOTAL,25158,63504521.07112962,chandel district,2020,3,manipur
TOTAL,82097,178752852.0332132,bishnupur district,2020,3,manipur
TOTAL,22336,47618195.960208856,senapati district,2020,3,manipur
TOTAL,2016,4920973.997680077,pherzawl district,2020,3,manipur
TOTAL,61160,179008408.76793516,churachandpur district,2020,3,manipur
TOTAL,19244,50761115.422037035,tengnoupal district,2020,3,manipur
TOTAL,805964,3116905375.2218285,imphal west district,2020,3,manipur
TOTAL,74472,216458503.28856832,kangpokpi district,2020,4,manipur
TOTAL,14618,52819316.83640482,noney district,2020,4,manipur
TOTAL,179438,524041651.00012255,imphal east district,2020,4,manipur
TOTAL,87208,249311101.38298762,thoubal district,2020,4,manipur
TOTAL,37180,96767393.90324815,kakching district,2020,4,manipur
TOTAL,19898,56276520.99872882,jiribam district,2020,4,manipur
TOTAL,32947,91688189.17603046,ukhrul district,2020,4,manipur
TOTAL,27674,77956516.78360562,tamenglong district,2020,4,manipur
TOTAL,6676,21815826.79135724,kamjong district,2020,4,manipur
TOTAL,31540,90473275.49273106,chandel district,2020,4,manipur
TOTAL,95869,267444206.38869548,bishnupur district,2020,4,manipur
TOTAL,27636,79537295.38666978,senapati district,2020,4,manipur
TOTAL,2329,4810299.528864712,pherzawl district,2020,4,manipur
TOTAL,71693,243354880.54309082,churachandpur district,2020,4,manipur
TOTAL,23797,81989716.00595729,tengnoupal district,2020,4,manipur
TOTAL,894877,3447479864.9516916,imphal west district,2020,4,manipur
TOTAL,63234,205050443.8236801,kangpokpi district,2021,1,manipur
TOTAL,12635,47249169.68840321,noney district,2021,1,manipur
TOTAL,161841,530028907.0928848,imphal east district,2021,1,manipur
TOTAL,72593,240713473.6681419,thoubal district,2021,1,manipur
TOTAL,29803,92307870.36114596,kakching district,2021,1,manipur
TOTAL,16697,58448279.737162024,jiribam district,2021,1,manipur
TOTAL,22415,68745913.46443734,ukhrul district,2021,1,manipur
TOTAL,20962,72960342.05136192,tamenglong district,2021,1,manipur
TOTAL,6312,24926447.76105148,kamjong district,2021,1,manipur
TOTAL,23884,80445733.20656839,chandel district,2021,1,manipur
TOTAL,73777,255486792.7272072,bishnupur district,2021,1,manipur
TOTAL,22025,73777202.5143657,senapati district,2021,1,manipur
TOTAL,1714,4788028.467703758,pherzawl district,2021,1,manipur
TOTAL,62755,250250943.40948159,churachandpur district,2021,1,manipur
TOTAL,19430,102554591.19717449,tengnoupal district,2021,1,manipur
TOTAL,1693458,4962553375.308464,imphal west district,2021,1,manipur
TOTAL,78765,236369410.09906262,kangpokpi district,2021,2,manipur
TOTAL,13296,49460189.27496501,noney district,2021,2,manipur
TOTAL,179337,491977805.9791717,imphal east district,2021,2,manipur
TOTAL,91264,268514237.48815316,thoubal district,2021,2,manipur
TOTAL,37444,92311646.34027098,kakching district,2021,2,manipur
TOTAL,21823,67560643.64335921,jiribam district,2021,2,manipur
TOTAL,28524,81225585.7217874,ukhrul district,2021,2,manipur
TOTAL,24852,77929754.45097202,tamenglong district,2021,2,manipur
TOTAL,6983,31394830.195748344,kamjong district,2021,2,manipur
TOTAL,29178,90054101.93360364,chandel district,2021,2,manipur
TOTAL,89095,260900495.16290623,bishnupur district,2021,2,manipur
TOTAL,25681,70219657.8819672,senapati district,2021,2,manipur
TOTAL,1842,5443830.799674254,pherzawl district,2021,2,manipur
TOTAL,80524,273962339.3949944,churachandpur district,2021,2,manipur
TOTAL,23771,94806974.44450317,tengnoupal district,2021,2,manipur
TOTAL,2353896,5697696459.585503,imphal west district,2021,2,manipur
TOTAL,94883,299760833.40438926,kangpokpi district,2021,3,manipur
TOTAL,16371,63161488.24690456,noney district,2021,3,manipur
TOTAL,226128,705081475.2381085,imphal east district,2021,3,manipur
TOTAL,113257,363547884.1177802,thoubal district,2021,3,manipur
TOTAL,44277,128692670.00805303,kakching district,2021,3,manipur
TOTAL,26615,80773937.39020777,jiribam district,2021,3,manipur
TOTAL,35250,118509943.90387845,ukhrul district,2021,3,manipur
TOTAL,33266,108769884.20480461,tamenglong district,2021,3,manipur
TOTAL,7567,32384455.496498216,kamjong district,2021,3,manipur
TOTAL,36126,116052040.78947881,chandel district,2021,3,manipur
TOTAL,104901,320379628.1976948,bishnupur district,2021,3,manipur
TOTAL,30580,94805880.65418252,senapati district,2021,3,manipur
TOTAL,2176,6654015.070624737,pherzawl district,2021,3,manipur
TOTAL,109913,397548796.562021,churachandpur district,2021,3,manipur
TOTAL,32351,133669134.59317195,tengnoupal district,2021,3,manipur
TOTAL,3027735,7437068961.027054,imphal west district,2021,3,manipur
TOTAL,107329,318563859.82046556,kangpokpi district,2021,4,manipur
TOTAL,18970,68519523.59000592,noney district,2021,4,manipur
TOTAL,268205,853764884.9988655,imphal east district,2021,4,manipur
TOTAL,130316,393043161.28167,thoubal district,2021,4,manipur
TOTAL,43224,130159064.31913412,kakching district,2021,4,manipur
TOTAL,30742,97241435.32166685,jiribam district,2021,4,manipur
TOTAL,38665,142778895.31045908,ukhrul district,2021,4,manipur
TOTAL,40279,140792582.9323008,tamenglong district,2021,4,manipur
TOTAL,8685,32152837.655377008,kamjong district,2021,4,manipur
TOTAL,39891,131651667.09783676,chandel district,2021,4,manipur
TOTAL,113386,369885898.8351996,bishnupur district,2021,4,manipur
TOTAL,33983,119108747.24317983,senapati district,2021,4,manipur
TOTAL,2553,4851553.5065681385,pherzawl district,2021,4,manipur
TOTAL,121140,446895232.6851511,churachandpur district,2021,4,manipur
TOTAL,40383,154956864.23616886,tengnoupal district,2021,4,manipur
TOTAL,3649688,9254105829.377777,imphal west district,2021,4,manipur
TOTAL,922,652554.6654640209,north garo hills district,2018,1,meghalaya
TOTAL,319,489330.8331522482,south west khasi hills district,2018,1,meghalaya
TOTAL,7660,9199200.848858135,west garo hills district,2018,1,meghalaya
TOTAL,705,807410.0407250253,south garo hills district,2018,1,meghalaya
TOTAL,4896,8299361.376028441,east jaintia hills district,2018,1,meghalaya
TOTAL,798,1015597.2351604333,south west garo hills district,2018,1,meghalaya
TOTAL,23283,31807959.175373342,east khasi hills district,2018,1,meghalaya
TOTAL,749,781579.3759249721,east garo hills district,2018,1,meghalaya
TOTAL,6029,8736566.953918608,ribhoi district,2018,1,meghalaya
TOTAL,3131,2812937.948004551,west jaintia hills district,2018,1,meghalaya
TOTAL,1079,1647761.3372907462,west khasi hills district,2018,1,meghalaya
TOTAL,1403,1278347.188045342,north garo hills district,2018,2,meghalaya
TOTAL,396,311487.1929993931,south west khasi hills district,2018,2,meghalaya
TOTAL,10651,19685429.154264543,west garo hills district,2018,2,meghalaya
TOTAL,1103,1553253.9322072896,south garo hills district,2018,2,meghalaya
TOTAL,6004,13059945.843045246,east jaintia hills district,2018,2,meghalaya
TOTAL,1767,1724404.6747075585,south west garo hills district,2018,2,meghalaya
TOTAL,33966,61180700.479729906,east khasi hills district,2018,2,meghalaya
TOTAL,832,1032161.1690227182,east garo hills district,2018,2,meghalaya
TOTAL,8761,14181827.919832248,ribhoi district,2018,2,meghalaya
TOTAL,2232,2312980.3326936862,west jaintia hills district,2018,2,meghalaya
TOTAL,742,684129.9552836155,west khasi hills district,2018,2,meghalaya
TOTAL,2271,1976480.2056813869,north garo hills district,2018,3,meghalaya
TOTAL,1032,1016289.6491765348,south west khasi hills district,2018,3,meghalaya
TOTAL,17911,31488596.43937725,west garo hills district,2018,3,meghalaya
TOTAL,2110,2467349.2565310476,south garo hills district,2018,3,meghalaya
TOTAL,11397,22683448.874125846,east jaintia hills district,2018,3,meghalaya
TOTAL,2740,4294444.447825844,south west garo hills district,2018,3,meghalaya
TOTAL,54015,111173160.26256448,east khasi hills district,2018,3,meghalaya
TOTAL,1323,1963470.7809556075,east garo hills district,2018,3,meghalaya
TOTAL,13023,26072883.30165547,ribhoi district,2018,3,meghalaya
TOTAL,3240,4571330.11958733,west jaintia hills district,2018,3,meghalaya
TOTAL,1228,2146208.196912882,west khasi hills district,2018,3,meghalaya
TOTAL,4011,4590211.2600644585,north garo hills district,2018,4,meghalaya
TOTAL,1518,2669874.2649973836,south west khasi hills district,2018,4,meghalaya
TOTAL,29000,52674487.37349704,west garo hills district,2018,4,meghalaya
TOTAL,3037,6001319.0968858795,south garo hills district,2018,4,meghalaya
TOTAL,20614,37885027.674247645,east jaintia hills district,2018,4,meghalaya
TOTAL,3950,4531236.407859931,south west garo hills district,2018,4,meghalaya
TOTAL,70386,167808906.77955163,east khasi hills district,2018,4,meghalaya
TOTAL,2808,5832920.4836901445,east garo hills district,2018,4,meghalaya
TOTAL,18294,42066652.872822896,ribhoi district,2018,4,meghalaya
TOTAL,4693,7562803.76113517,west jaintia hills district,2018,4,meghalaya
TOTAL,2821,5962239.029920495,west khasi hills district,2018,4,meghalaya
TOTAL,3816,4016398.1062618718,north garo hills district,2019,1,meghalaya
TOTAL,1267,2118829.321976449,south west khasi hills district,2019,1,meghalaya
TOTAL,30087,58548564.16871373,west garo hills district,2019,1,meghalaya
TOTAL,3146,7486873.33081286,south garo hills district,2019,1,meghalaya
TOTAL,25054,46007520.563187,east jaintia hills district,2019,1,meghalaya
TOTAL,3819,4558241.545395774,south west garo hills district,2019,1,meghalaya
TOTAL,101662,201352082.70276013,east khasi hills district,2019,1,meghalaya
TOTAL,3529,6495149.290021526,east garo hills district,2019,1,meghalaya
TOTAL,27304,55813436.16699861,ribhoi district,2019,1,meghalaya
TOTAL,5411,7594602.551824972,west jaintia hills district,2019,1,meghalaya
TOTAL,3646,5045464.405482588,west khasi hills district,2019,1,meghalaya
TOTAL,3804,4329558.19180281,north garo hills district,2019,2,meghalaya
TOTAL,1152,2679006.93031867,south west khasi hills district,2019,2,meghalaya
TOTAL,32077,70701852.43602182,west garo hills district,2019,2,meghalaya
TOTAL,3048,7076537.051932728,south garo hills district,2019,2,meghalaya
TOTAL,21325,43624217.35616365,east jaintia hills district,2019,2,meghalaya
TOTAL,4563,6981663.150095232,south west garo hills district,2019,2,meghalaya
TOTAL,126665,274701980.60370815,east khasi hills district,2019,2,meghalaya
TOTAL,3926,6785815.738085165,east garo hills district,2019,2,meghalaya
TOTAL,27488,61625177.51082603,ribhoi district,2019,2,meghalaya
TOTAL,5226,9713762.898637522,west jaintia hills district,2019,2,meghalaya
TOTAL,3012,4711717.239687435,west khasi hills district,2019,2,meghalaya
TOTAL,6329,7479871.090316384,north garo hills district,2019,3,meghalaya
TOTAL,2009,2418047.871266484,south west khasi hills district,2019,3,meghalaya
TOTAL,45652,90390851.3262687,west garo hills district,2019,3,meghalaya
TOTAL,4768,7846736.258536675,south garo hills district,2019,3,meghalaya
TOTAL,28604,50090916.58164,east jaintia hills district,2019,3,meghalaya
TOTAL,6405,9676872.049848383,south west garo hills district,2019,3,meghalaya
TOTAL,156970,344129503.4634751,east khasi hills district,2019,3,meghalaya
TOTAL,5970,8134689.123280492,east garo hills district,2019,3,meghalaya
TOTAL,36292,73979318.03570686,ribhoi district,2019,3,meghalaya
TOTAL,8947,11292434.23987686,west jaintia hills district,2019,3,meghalaya
TOTAL,4604,6779362.1133165285,west khasi hills district,2019,3,meghalaya
TOTAL,8449,11018090.113242699,north garo hills district,2019,4,meghalaya
TOTAL,2753,4185672.1333535854,south west khasi hills district,2019,4,meghalaya
TOTAL,51137,104063298.18537539,west garo hills district,2019,4,meghalaya
TOTAL,7020,9901296.404344358,south garo hills district,2019,4,meghalaya
TOTAL,31575,61615652.49744396,east jaintia hills district,2019,4,meghalaya
TOTAL,7301,11722163.47943544,south west garo hills district,2019,4,meghalaya
TOTAL,189936,413649820.0310262,east khasi hills district,2019,4,meghalaya
TOTAL,7811,11523924.1048165,east garo hills district,2019,4,meghalaya
TOTAL,42953,90622918.2855494,ribhoi district,2019,4,meghalaya
TOTAL,11750,16126169.373071242,west jaintia hills district,2019,4,meghalaya
TOTAL,5296,8007467.18256015,west khasi hills district,2019,4,meghalaya
TOTAL,9622,11664668.291425837,north garo hills district,2020,1,meghalaya
TOTAL,3516,5420604.457110439,south west khasi hills district,2020,1,meghalaya
TOTAL,65263,130098803.74893945,west garo hills district,2020,1,meghalaya
TOTAL,10483,11902327.507517824,south garo hills district,2020,1,meghalaya
TOTAL,36855,76021760.04400355,east jaintia hills district,2020,1,meghalaya
TOTAL,10582,14322530.890240094,south west garo hills district,2020,1,meghalaya
TOTAL,280817,712010339.1765578,east khasi hills district,2020,1,meghalaya
TOTAL,10003,15050504.879497694,east garo hills district,2020,1,meghalaya
TOTAL,51789,109400759.46669218,ribhoi district,2020,1,meghalaya
TOTAL,15784,22057088.945124794,west jaintia hills district,2020,1,meghalaya
TOTAL,7569,12185453.500704024,west khasi hills district,2020,1,meghalaya
TOTAL,19393,16949021.845094834,north garo hills district,2020,2,meghalaya
TOTAL,5952,5344985.9066313775,south west khasi hills district,2020,2,meghalaya
TOTAL,107355,178844205.7463917,west garo hills district,2020,2,meghalaya
TOTAL,15934,18498464.712551523,south garo hills district,2020,2,meghalaya
TOTAL,50077,79110098.89726548,east jaintia hills district,2020,2,meghalaya
TOTAL,20761,21835410.25373499,south west garo hills district,2020,2,meghalaya
TOTAL,294655,669450297.8938913,east khasi hills district,2020,2,meghalaya
TOTAL,19865,19379120.258930385,east garo hills district,2020,2,meghalaya
TOTAL,60451,108416383.1511733,ribhoi district,2020,2,meghalaya
TOTAL,26041,22356066.44251103,west jaintia hills district,2020,2,meghalaya
TOTAL,14911,13551099.230221383,west khasi hills district,2020,2,meghalaya
TOTAL,17943,23618250.656932063,north garo hills district,2020,3,meghalaya
TOTAL,5942,8330565.372560624,south west khasi hills district,2020,3,meghalaya
TOTAL,117550,249575864.65120554,west garo hills district,2020,3,meghalaya
TOTAL,17171,23368652.17951659,south garo hills district,2020,3,meghalaya
TOTAL,52534,99669877.91499355,east jaintia hills district,2020,3,meghalaya
TOTAL,19536,31848167.460986283,south west garo hills district,2020,3,meghalaya
TOTAL,239307,571789473.606595,east khasi hills district,2020,3,meghalaya
TOTAL,19353,30405909.1461664,east garo hills district,2020,3,meghalaya
TOTAL,64590,138771339.65408337,ribhoi district,2020,3,meghalaya
TOTAL,28622,39860361.23642549,west jaintia hills district,2020,3,meghalaya
TOTAL,15031,19820539.503571287,west khasi hills district,2020,3,meghalaya
TOTAL,22048,36801863.778283074,north garo hills district,2020,4,meghalaya
TOTAL,7330,18169052.922343686,south west khasi hills district,2020,4,meghalaya
TOTAL,149536,362364387.96744514,west garo hills district,2020,4,meghalaya
TOTAL,22487,34586748.626706876,south garo hills district,2020,4,meghalaya
TOTAL,65059,162952261.01543325,east jaintia hills district,2020,4,meghalaya
TOTAL,24078,49584665.87626748,south west garo hills district,2020,4,meghalaya
TOTAL,298622,777719090.1611657,east khasi hills district,2020,4,meghalaya
TOTAL,23262,41847990.164476685,east garo hills district,2020,4,meghalaya
TOTAL,90879,223682008.03015277,ribhoi district,2020,4,meghalaya
TOTAL,32267,55102701.174963415,west jaintia hills district,2020,4,meghalaya
TOTAL,18440,41431802.48173465,west khasi hills district,2020,4,meghalaya
TOTAL,18850,37908696.16305937,north garo hills district,2021,1,meghalaya
TOTAL,6212,18881726.278145123,south west khasi hills district,2021,1,meghalaya
TOTAL,133362,370492803.5429464,west garo hills district,2021,1,meghalaya
TOTAL,19054,44351833.9562286,south garo hills district,2021,1,meghalaya
TOTAL,70732,205454314.7964044,east jaintia hills district,2021,1,meghalaya
TOTAL,18591,41861206.69737828,south west garo hills district,2021,1,meghalaya
TOTAL,322156,915771307.2291536,east khasi hills district,2021,1,meghalaya
TOTAL,18473,40212217.23708049,east garo hills district,2021,1,meghalaya
TOTAL,98957,266571316.12978175,ribhoi district,2021,1,meghalaya
TOTAL,24312,53826602.11269104,west jaintia hills district,2021,1,meghalaya
TOTAL,16947,60183253.84696514,west khasi hills district,2021,1,meghalaya
TOTAL,25028,37984069.23193223,north garo hills district,2021,2,meghalaya
TOTAL,7218,17922261.886446185,south west khasi hills district,2021,2,meghalaya
TOTAL,174186,437555569.84538835,west garo hills district,2021,2,meghalaya
TOTAL,21894,48819031.9572919,south garo hills district,2021,2,meghalaya
TOTAL,87223,205906820.910982,east jaintia hills district,2021,2,meghalaya
TOTAL,24491,47526700.8985536,south west garo hills district,2021,2,meghalaya
TOTAL,386773,994348113.9313933,east khasi hills district,2021,2,meghalaya
TOTAL,24431,42603145.83447135,east garo hills district,2021,2,meghalaya
TOTAL,111231,265892507.53668693,ribhoi district,2021,2,meghalaya
TOTAL,30529,53732989.3560653,west jaintia hills district,2021,2,meghalaya
TOTAL,16590,41326043.50138934,west khasi hills district,2021,2,meghalaya
TOTAL,30790,56346103.9411427,north garo hills district,2021,3,meghalaya
TOTAL,8524,20862237.488949515,south west khasi hills district,2021,3,meghalaya
TOTAL,207635,550868915.1603698,west garo hills district,2021,3,meghalaya
TOTAL,23378,50417337.27842516,south garo hills district,2021,3,meghalaya
TOTAL,103142,254116660.02417076,east jaintia hills district,2021,3,meghalaya
TOTAL,28662,59140851.35546415,south west garo hills district,2021,3,meghalaya
TOTAL,475308,1267820067.2649465,east khasi hills district,2021,3,meghalaya
TOTAL,29654,54695590.9177565,east garo hills district,2021,3,meghalaya
TOTAL,135524,337135306.83131677,ribhoi district,2021,3,meghalaya
TOTAL,37590,71888903.2617979,west jaintia hills district,2021,3,meghalaya
TOTAL,17524,45708478.00363463,west khasi hills district,2021,3,meghalaya
TOTAL,38565,88113799.75521982,north garo hills district,2021,4,meghalaya
TOTAL,12151,47472032.66584644,south west khasi hills district,2021,4,meghalaya
TOTAL,261543,746098768.1324025,west garo hills district,2021,4,meghalaya
TOTAL,28989,89662812.04398018,south garo hills district,2021,4,meghalaya
TOTAL,140522,371541323.51234245,east jaintia hills district,2021,4,meghalaya
TOTAL,35153,76249072.06112294,south west garo hills district,2021,4,meghalaya
TOTAL,602012,1647841435.7937279,east khasi hills district,2021,4,meghalaya
TOTAL,37744,79675265.12123142,east garo hills district,2021,4,meghalaya
TOTAL,210094,495239611.12453955,ribhoi district,2021,4,meghalaya
TOTAL,43460,98276171.06270258,west jaintia hills district,2021,4,meghalaya
TOTAL,29960,108595108.91303807,west khasi hills district,2021,4,meghalaya
TOTAL,691,1729998.4078016216,serchhip district,2018,1,mizoram
TOTAL,12006,27918980.947612707,aizawl district,2018,1,mizoram
TOTAL,1604,2350555.3184242332,lunglei district,2018,1,mizoram
TOTAL,1133,5729263.410353888,mamit district,2018,1,mizoram
TOTAL,735,547180.2110017058,lawngtlai district,2018,1,mizoram
TOTAL,1457,3891685.392413744,kolasib district,2018,1,mizoram
TOTAL,453,871005.7153709702,champhai district,2018,1,mizoram
TOTAL,482,2188550.572811981,saiha district,2018,1,mizoram
TOTAL,1237,3831939.5692156893,serchhip district,2018,2,mizoram
TOTAL,16353,48340497.162337765,aizawl district,2018,2,mizoram
TOTAL,3249,6814747.054434758,lunglei district,2018,2,mizoram
TOTAL,1813,10477582.990376014,mamit district,2018,2,mizoram
TOTAL,627,1375226.7520610169,lawngtlai district,2018,2,mizoram
TOTAL,2092,5117340.437229811,kolasib district,2018,2,mizoram
TOTAL,834,2204311.92373675,champhai district,2018,2,mizoram
TOTAL,846,5346759.668342534,saiha district,2018,2,mizoram
TOTAL,2133,6572902.580575922,serchhip district,2018,3,mizoram
TOTAL,24199,72031541.21772185,aizawl district,2018,3,mizoram
TOTAL,4716,12189472.093972277,lunglei district,2018,3,mizoram
TOTAL,2247,5446959.531490731,mamit district,2018,3,mizoram
TOTAL,1231,3422241.331497662,lawngtlai district,2018,3,mizoram
TOTAL,2631,6563816.625400645,kolasib district,2018,3,mizoram
TOTAL,1099,4369317.524420092,champhai district,2018,3,mizoram
TOTAL,1060,6004487.220311114,saiha district,2018,3,mizoram
TOTAL,2830,9311124.6379363,serchhip district,2018,4,mizoram
TOTAL,31828,114757156.94931006,aizawl district,2018,4,mizoram
TOTAL,6349,20867419.800037555,lunglei district,2018,4,mizoram
TOTAL,4168,12100776.511940831,mamit district,2018,4,mizoram
TOTAL,2341,5862745.984908307,lawngtlai district,2018,4,mizoram
TOTAL,4701,13882638.975375153,kolasib district,2018,4,mizoram
TOTAL,1726,6092672.776851988,champhai district,2018,4,mizoram
TOTAL,1299,7552316.893169428,saiha district,2018,4,mizoram
TOTAL,2964,9972286.162915044,serchhip district,2019,1,mizoram
TOTAL,40608,125499167.4513055,aizawl district,2019,1,mizoram
TOTAL,8092,24562628.04677686,lunglei district,2019,1,mizoram
TOTAL,5400,15141345.457853137,mamit district,2019,1,mizoram
TOTAL,3749,12077236.041769966,lawngtlai district,2019,1,mizoram
TOTAL,5590,15775791.308525538,kolasib district,2019,1,mizoram
TOTAL,1865,6683655.297350604,champhai district,2019,1,mizoram
TOTAL,2038,8448785.630905889,saiha district,2019,1,mizoram
TOTAL,2917,10740915.810445426,serchhip district,2019,2,mizoram
TOTAL,45257,147150855.43357453,aizawl district,2019,2,mizoram
TOTAL,8919,29564431.131805927,lunglei district,2019,2,mizoram
TOTAL,5047,15936975.402700387,mamit district,2019,2,mizoram
TOTAL,4502,12828264.165793028,lawngtlai district,2019,2,mizoram
TOTAL,5077,15941097.796656493,kolasib district,2019,2,mizoram
TOTAL,2055,7970010.188288981,champhai district,2019,2,mizoram
TOTAL,1897,7884158.20574963,saiha district,2019,2,mizoram
TOTAL,4389,12447829.176727356,serchhip district,2019,3,mizoram
TOTAL,54796,162632861.96810922,aizawl district,2019,3,mizoram
TOTAL,13305,34090897.89113889,lunglei district,2019,3,mizoram
TOTAL,6296,14161494.187527731,mamit district,2019,3,mizoram
TOTAL,6097,14593963.455838619,lawngtlai district,2019,3,mizoram
TOTAL,6977,17976086.411676798,kolasib district,2019,3,mizoram
TOTAL,3512,12151523.038879696,champhai district,2019,3,mizoram
TOTAL,2722,10739243.821443643,saiha district,2019,3,mizoram
TOTAL,5889,15064874.565576479,serchhip district,2019,4,mizoram
TOTAL,68532,215337713.34849542,aizawl district,2019,4,mizoram
TOTAL,15344,42919898.6938625,lunglei district,2019,4,mizoram
TOTAL,8468,16925628.21634368,mamit district,2019,4,mizoram
TOTAL,8069,22279514.789250825,lawngtlai district,2019,4,mizoram
TOTAL,11051,24470971.73397691,kolasib district,2019,4,mizoram
TOTAL,4878,17885681.11019664,champhai district,2019,4,mizoram
TOTAL,3008,13805068.176785678,saiha district,2019,4,mizoram
TOTAL,7512,15256865.240079906,serchhip district,2020,1,mizoram
TOTAL,78597,215534588.05424356,aizawl district,2020,1,mizoram
TOTAL,19703,47052524.734837465,lunglei district,2020,1,mizoram
TOTAL,12136,21524123.962646015,mamit district,2020,1,mizoram
TOTAL,13887,31918357.190269426,lawngtlai district,2020,1,mizoram
TOTAL,11386,26364756.939303115,kolasib district,2020,1,mizoram
TOTAL,6269,19712814.749991663,champhai district,2020,1,mizoram
TOTAL,4119,14713548.478265904,saiha district,2020,1,mizoram
TOTAL,10425,19459795.690984454,serchhip district,2020,2,mizoram
TOTAL,93369,238637352.52940086,aizawl district,2020,2,mizoram
TOTAL,27260,60375778.328148104,lunglei district,2020,2,mizoram
TOTAL,15352,24755549.964956302,mamit district,2020,2,mizoram
TOTAL,22369,44085859.538810775,lawngtlai district,2020,2,mizoram
